Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Cost,Income
The Last Gladiators,2011,R,94.0,https://m.media-amazon.com/images/M/MV5BMTk3NzEzNTQxNl5BMl5BanBnXkFtZTgwOTg4NzAxMzE@._V1_.jpg,https://www.imdb.com/video/vi1495312153/,"['Documentary', 'Sport']",7.1,1746,['United States'],['Alex Gibney'],"['Jim Podhoretz', 'Larry Weitzman']","['Donald Brashear', 'Lyndon Byers', 'Guy Carbonneau']","In ice hockey, no one is tougher than the &quot;goon&quot;. Those players have one mission: to protect the star players at any price.",,,,,,
The Black Power Mixtape 1967-1975,2011,Not Rated,100.0,https://m.media-amazon.com/images/M/MV5BMjEzMjI0ODgzOV5BMl5BanBnXkFtZTcwMDQyMDkyNg@@._V1_.jpg,https://www.imdb.com/video/vi3307641881/,"['Documentary', 'History']",7.6,2473,"['Sweden', 'United States']",['Göran Hugo Olsson'],['Göran Hugo Olsson'],"['Angela Davis', 'Stokely Carmichael', 'Bobby Seale']",Footage shot by a group of Swedish journalists documenting the Black Power Movement in the United States is edited together by a contemporary Swedish filmmaker.,"SEK 5,500,000 (estimated)","$273,749","$17,316","$280,256","SEK 5,500,000 (estimated)","$280,256"
Gekijôban Poketto Monsutâ Besuto Uisshu: Bikutini to kuroki eiyû Zekuromu,2011,Not Rated,97.0,https://m.media-amazon.com/images/M/MV5BNjU0NzE2Y2EtNjFhNy00YjE2LTllNGQtOTBkZWIwY2E2NzRkXkEyXkFqcGdeQXVyMjE5NjEyMjM@._V1_.jpg,,"['Animation', 'Adventure', 'Drama']",5.7,1865,['Japan'],['Kunihiko Yuyama'],"['Junichi Masuda', 'Hideki Sonoda', 'Ken Sugimori']","['Rica Matsumoto', 'Ikue Ôtani', 'Hideki Takahashi']",The greatest adventure in Pokémon history approaches.,,,,"$57,082,491",,"$57,082,491"
Bones Brigade: An Autobiography,2012,PG,90.0,https://m.media-amazon.com/images/M/MV5BMjE4OTU4ODg1M15BMl5BanBnXkFtZTcwODY4ODEzOA@@._V1_.jpg,https://www.imdb.com/video/vi3142951961/,"['Documentary', 'Sport']",8.0,2697,['United States'],['Stacy Peralta'],[],"['Tony Alva', 'Steve Caballero', 'Fred Durst']","When six teenage boys came together as a skateboarding team in the 1980s, they reinvented not only their chosen sport but themselves too - as they evolved from insecure outsiders to the most influential athletes in the field.",,,,,,
"Och, Karol 2",2011,,105.0,https://m.media-amazon.com/images/M/MV5BYTdkMjI4YTMtNjYxMS00NmJmLWI4NTktNjkzYWJiZDI4OWU0XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_.jpg,,['Comedy'],4.3,1041,['Poland'],['Piotr Weresniak'],"['Ilona Lepkowska', 'Piotr Weresniak']","['Piotr Adamczyk', 'Malgorzata Socha', 'Marta Zmuda Trzebiatowska']","Karol has everything. He has three mistresses in addition to the bride. He is charming, loves sex and enslaves women in the blink of an eye. He&apos;s also well aware of that women like and uses it for his benefits.",,,,"$10,455,379",,"$10,455,379"
Honour,2014,Not Rated,104.0,https://m.media-amazon.com/images/M/MV5BMTQ0MDUyOTg3MV5BMl5BanBnXkFtZTgwOTcxMjEyMTE@._V1_.jpg,https://www.imdb.com/video/vi3774661145/,['Thriller'],6.0,1091,['United Kingdom'],['Shan Khan'],['Shan Khan'],"['Aiysha Hart', 'Paddy Considine', 'Faraz Ayub']",A story centered on a young woman who is targeted by her family for an &quot;honour killing&quot; and the bounty hunter who takes the job.,,,,,,
"Mary Is Happy, Mary Is Happy",2013,,127.0,https://m.media-amazon.com/images/M/MV5BOTA2MDdmZWMtMDY5NS00YTEyLTk3MjktNjdlZjgwNzFhYWQ0XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_.jpg,,"['Comedy', 'Drama']",7.1,1037,['Thailand'],['Nawapol Thamrongrattanarit'],['Nawapol Thamrongrattanarit'],"['Thanapob Leeratanakachorn', 'Chonnikan Netjui', 'Patcha Poonpiriya']","Mary is in her last course of school. She&apos;ll confront sudden changes in her life, loving relatins and friendship. Based on some tweets of an anonymous girl.","THB 6,000,000 (estimated)",,,,"THB 6,000,000 (estimated)",
Sand Castles,2016,Unrated,93.0,https://m.media-amazon.com/images/M/MV5BMTk4NzQ4OTYyMF5BMl5BanBnXkFtZTgwMjg3OTI3NzE@._V1_.jpg,https://www.imdb.com/video/vi1384232217/,"['Crime', 'Drama', 'Thriller']",6.1,1605,['United States'],['Clenet Verdi-Rose'],"['Jordon Hodges', 'Bugs Moran']","['Jordon Hodges', 'Anne Winters', 'Randy Spence']","In rural Indiana, Noah and his impoverished family wrestle with the mysterious return of his now mute sister Lauren, who was kidnapped and held captive for over a decade.",,,,,,
Xing ying bu li,2012,PG-13,97.0,https://m.media-amazon.com/images/M/MV5BNjQyMDY3MzM1OF5BMl5BanBnXkFtZTcwNTA1Mzc5Ng@@._V1_.jpg,https://www.imdb.com/video/vi529908505/,"['Drama', 'Mystery']",5.4,2187,['China'],['Dayyan Eng'],['Dayyan Eng'],"['Kevin Spacey', 'Daniel Wu', 'Beibi Gong']","A troubled young man, Li faces pressure at work and problems at home with his moody wife. Chuck, rescues Li from the brink of despair and becomes an unlikely mentor. But who is Chuck really?",,,,,,
Vaterfreuden,2014,,110.0,https://m.media-amazon.com/images/M/MV5BMTQ1MDc4NTYzMl5BMl5BanBnXkFtZTgwNDYxNjUwMTE@._V1_.jpg,,"['Comedy', 'Romance']",5.6,2814,['Germany'],"['Matthias Schweighöfer', 'Torsten Künstler']","['Sebastian Wehlings', 'Christian Lyra', 'Andrea Willson']","['Matthias Schweighöfer', 'Isabell Polak', 'Friedrich Mücke']","Felix enjoys his single life to the fullest, but a ferret bites him, sterilizing him in the process. He tries everything in his power to find the soon-to-be mother of his only child, the result of his first and last sperm donation.","€5,500,000 (estimated)",,,"$27,088,817","€5,500,000 (estimated)","$27,088,817"
Alle for to,2013,Not Rated,89.0,https://m.media-amazon.com/images/M/MV5BMjEzNzIxNzk0NF5BMl5BanBnXkFtZTcwNTQ2NzM1OA@@._V1_.jpg,,"['Comedy', 'Crime']",5.8,2153,['Denmark'],['Rasmus Heide'],"['Mick Øgendahl', 'Anders Thomas Jensen', 'Rasmus Heide']","['Jonatan Spang', 'Rasmus Bjerg', 'Mick Øgendahl']","After their newfound fortune have been tricked away from them by a banker, the three friends must work together to get revenge.",,,,"$5,513,338",,"$5,513,338"
Im Winter ein Jahr,2008,,129.0,https://m.media-amazon.com/images/M/MV5BOWU2MzFhYWQtYTA0ZS00MTY0LThlMTctMmFiMTBlNjZiMjA3XkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_.jpg,,['Drama'],7.1,1630,"['Germany', 'United States']",['Caroline Link'],"['Caroline Link', 'Scott Campbell']","['Karoline Herfurth', 'Josef Bierbichler', 'Corinna Harfouch']",A renowned artist must uncover a young dancer&apos;s secrets in order to truly capture her likeness for a commissioned work.,,,,"$2,011,990",,"$2,011,990"
Nitro Circus: The Movie,2012,PG-13,92.0,https://m.media-amazon.com/images/M/MV5BMTM5NDM5ODEyN15BMl5BanBnXkFtZTcwOTk2NzcwOA@@._V1_.jpg,https://www.imdb.com/video/vi985507097/,"['Documentary', 'Action', 'Comedy']",6.6,6356,['United States'],"['Gregg Godfrey', 'Jeremy Rawle']","['Gregg Godfrey', 'Travis Pastrana', 'Jeremy Rawle']","['Travis Pastrana', 'Tommy Passemante', 'Jeremy Rawle']","Travis Pastrana and his tight-knit, highly-skilled, adrenaline-addicted friends bring their impossible, ridiculous, insane and hysterical adventures to the big screen for the first time.",,"$3,377,618","$1,183,701","$4,174,269",,"$4,174,269"
Nautanki Saala!,2013,,119.0,https://m.media-amazon.com/images/M/MV5BMTJjMWMzZWMtYmJmYi00MWZiLWJlZjgtMjM4NWI3MzViOTE3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi3066411289/,"['Comedy', 'Drama', 'Romance']",5.8,4454,['India'],['Rohan Sippy'],"['Benoît Graffin', 'Pierre Salvadori', 'Nipun Dharmadhikari']","['Ayushmann Khurrana', 'Kunaal Roy Kapur', 'Pooja Salvi']","Ram, a successful theatre artist, saves Mandar from committing suicide. He then ends up developing a special bond with Mandar and even helps solve his problems.",,,,,,
Paleri Manikyam: Oru Pathirakolapathakathinte Katha,2009,,155.0,https://m.media-amazon.com/images/M/MV5BYTY0MWM1ZTItODYxOC00OGM5LWEyZmYtMjg0MGE5NWZmMzNkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,,"['Crime', 'Drama', 'History']",7.7,2035,['India'],['Ranjith'],"['T.P. Rajeevan', 'Ranjith']","['Mammootty', 'Mythili', 'Shweta Menon']","A woman is found dead in mysterious circumstances. Several discrepancies arise in the findings, which eventually leads to the closure of the case. Years later, Haridas decides to reopen the case.","₹20,000,000 (estimated)",,,,"₹20,000,000 (estimated)",
Dzhungli,2012,,80.0,https://m.media-amazon.com/images/M/MV5BMDc3ODg3NWMtYTdjOS00NmJjLTg3NjEtODg4MGE0ZjcyOTY4XkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_.jpg,,"['Adventure', 'Comedy']",5.0,1231,['Russia'],['Aleksandr Voytinskiy'],"['Aleksey Fyodorov', 'Oleg Malovichko', 'Roman Nepomnyashchiy']","['Vera Brezhneva', 'Marina Dyuzheva', 'Mikhail Efremov']","Sergei and Marina&apos;s crisis has come in family life. During one of the fights, they decide to go to an exotic journey. All the way between the spouses do not cease strife, which in the end lead to the fact that they find themselves...",,,,"$13,324,130",,"$13,324,130"
Kreuzweg,2014,Unrated,110.0,https://m.media-amazon.com/images/M/MV5BMjEyMjQwMzE3OV5BMl5BanBnXkFtZTgwOTM1ODcwOTE@._V1_.jpg,https://www.imdb.com/video/vi3049306649/,['Drama'],7.4,4563,"['Germany', 'France']",['Dietrich Brüggemann'],"['Anna Brüggemann', 'Dietrich Brüggemann']","['Lea van Acken', 'Franziska Weisz', 'Florian Stetter']","Fourteen-year-old Maria is a fundamentalist Catholic, living her life in a modern fashion, yet her heart belongs to Jesus. She wants to be a saint and go to heaven. No one, not even a nice boy she meets, can stop her in this goal.",,"$1,505",$688,"$74,509",,"$74,509"
The Bridge to Nowhere,2009,R,105.0,https://m.media-amazon.com/images/M/MV5BMjA2NTc3NTUzN15BMl5BanBnXkFtZTcwMTQ5ODIwMw@@._V1_.jpg,https://www.imdb.com/video/vi2774270489/,"['Crime', 'Drama']",5.3,1059,['United States'],['Blair Underwood'],['Chris Gutierrez'],"['Ving Rhames', 'Bijou Phillips', 'Danny Masterson']",Centers on the rise and fall of four blue-collar men who team with a destitute prostitute to create a high-priced escort service.,"$4,000,000 (estimated)",,,,"$4,000,000 (estimated)",
Kong Curling,2011,,90.0,https://m.media-amazon.com/images/M/MV5BNzVhZDQ2MWYtODViZi00NjZmLTg4M2YtZTZkMDE2YzM1NDBkXkEyXkFqcGdeQXVyNjUyNjY0NDk@._V1_.jpg,,"['Comedy', 'Sport']",6.1,2433,['Norway'],['Ole Endresen'],"['Atle Antonsen', 'Ole Endresen']","['Atle Antonsen', 'Linn Skåber', 'Kåre Conradi']",Curling skip Truls Pålsen&apos;s team has to make a come back after suffering from psychic problems with oversizing details.,"NOK 16,100,000 (estimated)",,,"$2,590,137","NOK 16,100,000 (estimated)","$2,590,137"
Mynaa,2010,Not Rated,144.0,https://m.media-amazon.com/images/M/MV5BZDhkYjlkNGItYTg0My00NzBlLWI5ZTYtYjYzOTIxOGMzN2VkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi382319385/,"['Action', 'Romance']",7.4,1068,['India'],['Prabu Solomon'],['Prabu Solomon'],"['Vidharth', 'Amala Paul', 'Thambi Ramaiah']",Village boy make an affair with girl and they continue it even if they grownup. Accidentally boy happened to caught in jail. But after small time he escaped from the jail and come to the girl. The prison officials follow him and c...,"₹30,000,000 (estimated)",,,,"₹30,000,000 (estimated)",
Love the Beast,2009,R,92.0,https://m.media-amazon.com/images/M/MV5BMTMwODQ1NjU5Ml5BMl5BanBnXkFtZTcwMzk0OTUyMg@@._V1_.jpg,https://www.imdb.com/video/vi1744673561/,"['Documentary', 'Sport']",7.4,2175,['Australia'],['Eric Bana'],[],"['Eric Bana', 'Jeremy Clarkson', 'Steve Coad']","What if you were a Hollywood movie star with an obsession for cars and racing? You would probably read every script with even the tiniest link to the subject matter, in the hope that you could tell a great car story of the likes o...",,,,"$511,064",,"$511,064"
More Than Honey,2013,Unrated,95.0,https://m.media-amazon.com/images/M/MV5BMTYwMDA1NDI1MF5BMl5BanBnXkFtZTcwNDM0MzQ4OQ@@._V1_.jpg,https://www.imdb.com/video/vi2777000217/,['Documentary'],7.5,4292,"['Switzerland', 'Germany', 'Austria']",['Markus Imhoof'],"['Markus Imhoof', 'Kerstin Hoppenhaus']","['Fred Jaggi', 'Randolf Menzel', 'John Miller']","An in-depth look at honeybee colonies in California, Switzerland, China and Australia.",,"$79,772","$5,225","$1,605,888",,"$1,605,888"
Sedamdeset i dva dana,2010,,93.0,https://m.media-amazon.com/images/M/MV5BMjlkYWJkZmEtYzk2Mi00MzI3LWE0ZjgtYmNkMTEwNmE0NDI3XkEyXkFqcGdeQXVyMjI2NDIxNjI@._V1_.jpg,,"['Comedy', 'Drama']",6.7,1071,"['Croatia', 'Serbia']",['Danilo Serbedzija'],['Danilo Serbedzija'],"['Rade Serbedzija', 'Kresimir Mikic', 'Bogdan Diklic']","A family from isolated village in Lika makes a good living out of American pension earned by their late granddad Djuradj and received by his widow Nedja. The very existence of a family is threatened when Nedja dies, but the head o...",,,,,,
Saa&apos;a wi Nos,2012,,87.0,https://m.media-amazon.com/images/M/MV5BNGEzY2M2YmQtYjdhMy00YjI1LTk0NWUtZDc0OTEzNzk4NDA1XkEyXkFqcGdeQXVyMzgyOTI1Mjc@._V1_.jpg,,['Drama'],7.2,1376,['Egypt'],['Wael Ihsan'],"['Ahmed Abdalla', 'Mohamed Nasser Hamza']","['Maged El-Kidwani', 'Eyad Nassar', 'Sawsan Badr']","A re-imagining of the 2002 al-Ayyat train incident in Egypt which took the lives of over 360 passengers and civilians, depicting some of the problems that spread out in the Egyptian society this days.","EGP 28,000,000 (estimated)",,,"$132,159","EGP 28,000,000 (estimated)","$132,159"
Siruthai,2011,Not Rated,160.0,https://m.media-amazon.com/images/M/MV5BN2Q4NzllOWUtOGI2Ny00NjExLTg4NjItZTQ0ZjVkYmU5ZjU1XkEyXkFqcGdeQXVyMTYyNjAzOTUx._V1_.jpg,https://www.imdb.com/video/vi370325529/,"['Action', 'Comedy', 'Crime']",6.1,1760,['India'],['Siva'],"['Vijayendra Prasad', 'Siva', 'Rishabh Purohit']","['Karthi', 'Tamannaah Bhatia', 'Santhanam Neelamegam']","Set against a rural backdrop, this double action thriller revolves around Ratnavel Pandian, a tough policeman who cleans up the village, which is virtually ruled by criminal elements.","₹110,000,000 (estimated)",,,"$591,700","₹110,000,000 (estimated)","$591,700"
Headshot,2011,Not Rated,105.0,https://m.media-amazon.com/images/M/MV5BMTYwMDA5MTU1MF5BMl5BanBnXkFtZTcwNTMyNDA1OA@@._V1_.jpg,https://www.imdb.com/video/vi2250679321/,"['Crime', 'Drama', 'Thriller']",6.1,1832,"['Thailand', 'France']",['Pen-Ek Ratanaruang'],"['Win Lyovarin', 'Pen-Ek Ratanaruang']","['Nopachai Chaiyanam', 'Sirin Horwang', 'Chanokporn Sayoungkul']",A cop who becomes a hitman for a group aimed at eliminating those who are above the law finds his world turned upside down by a single a devastating blow.,,"$1,373",$456,"$115,511",,"$115,511"
Li xiao long,2010,,129.0,https://m.media-amazon.com/images/M/MV5BMjIxODU4MjM2OF5BMl5BanBnXkFtZTcwODg1MTYxNQ@@._V1_.jpg,,"['Biography', 'Drama']",6.4,1954,"['Hong Kong', 'China']","['Manfred Wong', 'Wai-Man Yip']","['Jan-Fai Lee', 'Manfred Wong']","['Aarif Rahman', 'Tony Ka Fai Leung', 'Christy Chung']",The life story of martial arts icon and actor Bruce Lee.,"$7,300,000 (estimated)",,,"$3,447,642","$7,300,000 (estimated)","$3,447,642"
Africa United,2010,,88.0,https://m.media-amazon.com/images/M/MV5BYzFjNjNmZjktMTZlNi00OWU0LWJmYTItNjBjZThiZDM5OTlkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_.jpg,https://www.imdb.com/video/vi2728200473/,"['Adventure', 'Comedy', 'Drama']",6.5,1517,"['United Kingdom', 'South Africa', 'Rwanda']",['Debs Paterson'],"['Rhidian Brook', 'Eric Kabera']","['Eriya Ndayambaje', 'Roger Jean Nsengiyumva', 'Sanyu Joanita Kintu']",The story of four children who walk three thousand miles to get to the world cup. On the way they encounter many things such as HIV and child prostitution.,"$4,000,000 (estimated)",,,"$1,207,592","$4,000,000 (estimated)","$1,207,592"
Psyhi vathia,2009,,142.0,https://m.media-amazon.com/images/M/MV5BMjRhZGVmZDgtMTNlMi00M2YxLTgwNjktNmE5NzZjZTM0ZjA0XkEyXkFqcGdeQXVyMzQ3Nzk5MTU@._V1_.jpg,,"['Drama', 'War']",7.1,2576,"['Greece', 'Cyprus']",['Pantelis Voulgaris'],"['Ioanna Karystiani', 'Pantelis Voulgaris']","['Vangelis Mourikis', 'Giorgos Symeonidis', 'Victoria Haralabidou']",Near the end of the Greek Civil War two brothers find themselves in opposite sides.,€2 (estimated),,,"$2,128,154",€2 (estimated),"$2,128,154"
Sesir profesora Koste Vujica,2012,,121.0,https://m.media-amazon.com/images/M/MV5BOWQ2YWZiNjgtYzg5NS00NWJlLWEwNzQtYzUzODkyZDZlNDRlXkEyXkFqcGdeQXVyMjI0NTYyMTM@._V1_.jpg,,"['Biography', 'Comedy', 'Drama']",7.3,1902,['Serbia'],['Zdravko Sotra'],"['Zdravko Sotra', 'Milovan Vitezovic']","['Aleksandar Bercek', 'Milos Bikovic', 'Aleksandar Radojicic']","The story of professor Kosta Vujic who in the mid-19th century taught an extraordinarily talented generation of gymnasium students, some of whom would go on to become prominent members of the Serbian society and eventually histori...",,,,"$736,843",,"$736,843"
Brigada: Naslednik,2012,,120.0,https://m.media-amazon.com/images/M/MV5BMzE2OTM1ZjUtYzUzMy00YzY2LTk0NmQtZTVkNjM5M2ViMzlhXkEyXkFqcGdeQXVyMzQzNDc4NTQ@._V1_.jpg,,"['Action', 'Crime']",2.6,1159,['Russia'],['Denis Alekseev'],['Denis Alekseev'],"['Ivan Makarevich', 'Ekaterina Guseva', 'Kirill Nagiev']","Ivan is a typical modern young man of 18. His father disappeared 10 years ago. Trying to shake off the pursuing enemies of their father, Belov&apos;s wife and daughter changed their names and settled in the United States. But Alexander...","$4,500,000 (estimated)",,,"$7,917,683","$4,500,000 (estimated)","$7,917,683"
Satyagraha,2013,,152.0,https://m.media-amazon.com/images/M/MV5BMjA0NjA4OTExMF5BMl5BanBnXkFtZTgwMDQ2MTQwMDE@._V1_.jpg,https://www.imdb.com/video/vi2069604633/,['Drama'],5.9,5346,['India'],['Prakash Jha'],"['Prakash Jha', 'Anjum Rajabali']","['Kareena Kapoor', 'Amitabh Bachchan', 'Ajay Devgn']",A corporate go-getter sees his priorities shift when a personal tragedy brings him face-to-face with political corruption.,,"$738,525","$412,148","$1,223,419",,"$1,223,419"
Theevram,2012,Not Rated,135.0,https://m.media-amazon.com/images/M/MV5BOGZiNjI2N2EtNmE2MS00MmU5LTg5MjAtYzMzOGEzYzQzNGQ4XkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_.jpg,https://www.imdb.com/video/vi1031780377/,"['Action', 'Crime', 'Drama']",6.5,1297,['India'],['Roopesh Peethambaran'],['Roopesh Peethambaran'],"['Dulquer Salmaan', 'Sreenivasan', 'Vinay Forrt']",A missing auto-rickshaw driver and unidentifiable mutilated body parts found at different places stir up an investigation revealing the history of the auto-rickshaw driver and his murderer.,,,,,,
Cirkus Columbia,2011,Not Rated,113.0,https://m.media-amazon.com/images/M/MV5BMjI1MDQ4NzM5OV5BMl5BanBnXkFtZTcwMzE2NTkyNw@@._V1_.jpg,https://www.imdb.com/video/vi1697358105/,"['Comedy', 'Drama', 'Romance']",7.2,2633,"['Bosnia and Herzegovina', 'France', 'United Kingdom', 'Germany', 'Slovenia', 'Belgium', 'Serbia']",['Danis Tanovic'],"['Ivica Djikic', 'Danis Tanovic']","['Predrag &apos;Miki&apos; Manojlovic', 'Mira Furlan', 'Boris Ler']",A story set in the former Yugoslavia and centered on a guy who returns to Herzegovina from Germany with plenty of cash and hopes for a good new life.,,"$3,457","$1,284","$173,083",,"$173,083"
My Last Five Girlfriends,2010,TV-14,90.0,https://m.media-amazon.com/images/M/MV5BMjE3OTg5MzA4NV5BMl5BanBnXkFtZTcwNTEyNzUyNA@@._V1_.jpg,https://www.imdb.com/video/vi420742169/,['Comedy'],5.7,2054,['United Kingdom'],['Julian Kemp'],"['Julian Kemp', 'Alain de Botton']","['Brendan Patricks', 'Naomie Harris', 'Kelly Adams']","Duncan navigates the unsteady world of romance and relationships, going through five girlfriends in four years. Unfortunately, none of them turn out well.",,,,"$257,317",,"$257,317"
Kranthiveera Sangolli Rayanna,2012,,180.0,https://m.media-amazon.com/images/M/MV5BYjE1ZDVkOTktNDc1ZC00MmZmLWE0ZGYtOGViNDgwZjcxMmVkXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,,"['Action', 'Drama', 'History']",8.0,1155,['India'],['Naganna'],"['Keshavaaditya', 'Naganna']","['Darshan Thoogudeep', 'Shashikumar', 'Jaya Prada']",Life saga of Indian brave freedom fighter Sangolli Rayanna against British...,,,,,,
Toad Road,2013,Unrated,76.0,https://m.media-amazon.com/images/M/MV5BMjIyNTc3NDkyN15BMl5BanBnXkFtZTcwNjMwNTA3OA@@._V1_.jpg,,"['Drama', 'Horror', 'Sci-Fi']",5.0,1417,['United States'],['Jason Banker'],['Jason Banker'],"['James Davidson', 'Sara Anne Jones', 'Whitleigh Higuera']","A portrait of contemporary youth culture, where the lines between reality and fiction are blurred with often frightening results.",,,,,,
Jian dang wei ye,2011,Not Rated,140.0,https://m.media-amazon.com/images/M/MV5BM2RkMDRjYWYtMGY1Ni00OTFhLWFjMjUtNDA1NjFkY2ZmMWQzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,,"['Drama', 'History']",3.1,6371,['China'],"['Sanping Han', 'Jianxin Huang']","['Zhe Dong', 'Jung Li Guong', 'Jianxin Huang']","['John Woo', 'Bingbing Fan', 'Chow Yun-Fat']",A chronicle of the events that led to the founding of the Chinese Communist Party.,,"$151,000","$65,866","$58,314,351",,"$58,314,351"
No Tell Motel,2016,Not Rated,84.0,https://m.media-amazon.com/images/M/MV5BNTM4MjM5NDc2NV5BMl5BanBnXkFtZTcwMjM4NzkwOA@@._V1_.jpg,https://www.imdb.com/video/vi870230297/,['Horror'],3.5,1800,['United States'],['Brett Donowho'],['T.J. Cimfel'],"['Chalie Howes', 'Johnny Hawkes', 'Andrew MacFarlane']",Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.,"$3,000,000 (estimated)",,,"$466,535","$3,000,000 (estimated)","$466,535"
Rain Fall,2009,R,111.0,https://m.media-amazon.com/images/M/MV5BYTE1M2JjYWEtNzUzZS00YmM1LThkMmYtMzQ0MjI0ODIwZDEzXkEyXkFqcGdeQXVyODY2MzY0NDE@._V1_.jpg,,"['Action', 'Crime', 'Drama']",4.6,1378,"['Japan', 'United States']",['Max Mannix'],"['Barry Eisler', 'Max Mannix']","['Kippei Shîna', 'Gary Oldman', 'Kyoko Hasegawa']",A hit man looks to protect the daughter of one of his victims against CIA assassins.,"$7,000,000 (estimated)",,,"$1,348,221","$7,000,000 (estimated)","$1,348,221"
Dans la cour,2014,R,97.0,https://m.media-amazon.com/images/M/MV5BMTU4YzdlNDYtOGEwZi00YmM2LWJhYWItMjAwMWRjOTNjYWFhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,https://www.imdb.com/video/vi1238743577/,"['Comedy', 'Drama']",6.3,1431,['France'],['Pierre Salvadori'],"['Pierre Salvadori', 'David Léotard', 'Benoît Graffin']","['Catherine Deneuve', 'Gustave Kervern', 'Féodor Atkine']","Antoine is too depressed to go on playing in his rock band. After wandering in the streets, he decides to seek an occupation. Unskilled as he is, he is lucky to be hired as the caretaker of an old Paris apartment building.",,,,"$2,960,409",,"$2,960,409"
Catching Hell,2011,,102.0,https://m.media-amazon.com/images/M/MV5BZTliMzQ0ZGUtOWVjZS00YjQwLThlMzUtNTAwYWJlZTQzZDY4XkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_.jpg,,"['Documentary', 'Sport']",7.9,1706,['United States'],['Alex Gibney'],['Alex Gibney'],"['Alex Gibney', 'Dave Kaplan', 'Bob Costas']","After the Chicago Cubs blow an opportunity to reach the World Series in 2003, Cubs fans blame the team&apos;s misfortune on fellow fan Steve Bartman, who interfered with a foul ball and prevented Moises Alou from making a catch.",,,,,,
Usagi doroppu,2011,0+,114.0,https://m.media-amazon.com/images/M/MV5BMzZmYzBhNTAtMzVmZC00ZDVkLTg4YTItNmY2MzI3MjczNWQ2XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_.jpg,,"['Comedy', 'Drama']",7.2,1758,['Japan'],['Sabu'],"['Yumi Unita', 'Sabu', 'Tamio Hayashi']","['Ken&apos;ichi Matsuyama', 'Karina', 'Mana Ashida']",A man adopts his six-year-old aunt and raises her as his own kid.,,,,"$6,632,403",,"$6,632,403"
Saheb Biwi Aur Gangster Returns,2013,Not Rated,142.0,https://m.media-amazon.com/images/M/MV5BMTgwNjEyMDQyOV5BMl5BanBnXkFtZTcwNTU5OTcwOQ@@._V1_.jpg,https://www.imdb.com/video/vi3537484569/,"['Action', 'Crime', 'Drama']",6.7,4092,['India'],['Tigmanshu Dhulia'],"['Tigmanshu Dhulia', 'Kamal Pandey']","['Jimmy Shergill', 'Mahie Gill', 'Irrfan Khan']","Saheb, his wife, and a gangster who returns to take revenge.",,,,"₹232,700,000",,"₹232,700,000"
Ashura,2012,,76.0,https://m.media-amazon.com/images/M/MV5BNTk3Y2RiMTctNmY1ZC00YThiLTg3NjItYmQ0YTZkNWY0ZWIwXkEyXkFqcGdeQXVyNjQyMzA3MTM@._V1_.jpg,,"['Animation', 'Action', 'Drama']",6.6,1356,['Japan'],['Kei&apos;ichi Sato'],"['George Akiyama', 'Ikuko Takahashi']","['Masako Nozawa', 'Tesshô Genda', 'Megumi Hayashibara']","Abandoned in the barren wasteland of Kyoto, a savage, enraged orphan does whatever it takes to survive in the wild. When he crosses paths with civilization, he must learn to tame the beast within.",,,,,,
Fri os fra det onde,2009,Not Rated,100.0,https://m.media-amazon.com/images/M/MV5BMzE1MDkxNDE5N15BMl5BanBnXkFtZTgwMTQ3MjA2MDE@._V1_.jpg,,['Thriller'],6.5,2093,"['Denmark', 'Sweden', 'Norway']",['Ole Bornedal'],['Ole Bornedal'],"['Lasse Rimmer', 'Lene Nystrøm', 'Fanny Leander Bornedal']",A father returns to his old hometown with his young family. Events force him to face the small town&apos;s xenophobia.,,,,"$69,513",,"$69,513"
